Team,Rating,Offense,Defense,Special Teams
1. Alabama (1-0),32.9,45.2 (2),12.3 (3),0.0 (77)
2. Georgia (1-0),24.8,36.6 (15),11.8 (2),0.0 (99)
3. Ohio St. (1-0),24.2,45.8 (1),21.6 (31),0.0 (63)
4. Oklahoma (1-0),21.9,43.3 (3),21.4 (30),0.0 (46)
5. Penn St. (1-0),20.9,35.5 (20),14.6 (4),0.0 (80)
6. Clemson (0-1),20.7,36.0 (17),15.3 (5),0.0 (84)
7. Michigan (1-0),20.6,36.7 (14),16.2 (10),0.1 (11)
8. Texas A&M (1-0),19.9,35.6 (19),15.7 (8),0.0 (43)
9. USC (1-0),19.8,39.7 (7),19.9 (19),0.0 (68)
10. Cincinnati (1-0),19.7,35.2 (25),15.5 (7),-0.1 (109)
11. Utah (1-0),19.5,35.5 (22),15.9 (9),0.0 (87)
12. Iowa (1-0),19.3,30.1 (51),11.0 (1),0.1 (13)
13. Auburn (1-0),18.6,35.5 (21),16.9 (11),0.0 (34)
14. Florida (1-0),18.2,39.8 (6),21.6 (32),0.0 (81)
15. Ole Miss (1-0),17.1,41.4 (4),24.3 (48),0.0 (82)
16. Texas (1-0),17.0,38.4 (9),21.4 (29),0.0 (37)
17. UCLA (2-0),16.4,40.6 (5),24.3 (50),0.1 (2)
18. Wisconsin (0-1),14.9,30.3 (50),15.4 (6),-0.1 (105)
19. Iowa St. (1-0),14.7,36.0 (16),21.3 (27),0.0 (73)
20. Washington (0-1),13.7,34.6 (27),20.9 (23),-0.1 (119)
21. Arizona St. (1-0),13.1,33.5 (33),20.5 (21),0.0 (33)
22. N. Carolina (0-1),13.0,39.5 (8),26.5 (65),0.0 (62)
23. Oregon (1-0),13.0,34.7 (26),21.7 (33),0.1 (18)
24. Va. Tech (1-0),12.6,35.4 (23),22.7 (40),0.0 (91)
25. Miami (0-1),12.3,34.1 (30),21.9 (34),0.1 (23)
26. Coastal Caro. (1-0),11.6,37.9 (11),26.2 (63),-0.1 (111)
27. Pittsburgh (1-0),11.2,29.9 (55),18.8 (15),0.1 (4)
28. Notre Dame (1-0),11.0,33.1 (37),22.2 (36),0.1 (12)
29. NC St. (1-0),10.8,31.0 (47),20.2 (20),0.1 (27)
30. TCU (1-0),10.4,29.8 (56),19.4 (16),0.0 (101)
31. Minnesota (0-1),10.2,37.1 (13),26.9 (72),0.1 (25)
32. UCF (1-0),9.6,38.1 (10),28.5 (79),0.0 (89)
33. Virginia (1-0),9.4,33.4 (34),24.1 (46),0.0 (57)
34. Michigan St. (1-0),9.0,27.1 (79),18.1 (13),-0.1 (110)
35. Memphis (1-0),8.8,30.1 (53),21.2 (26),0.0 (36)
36. Boston Coll. (1-0),8.6,37.3 (12),28.8 (80),0.0 (30)
37. Maryland (1-0),8.6,31.3 (43),22.7 (39),0.0 (66)
38. Kentucky (1-0),8.6,29.4 (58),20.9 (24),0.0 (35)
